"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S001","18/06/2025 14:40:59","7304","RUFO ADULTO 10X2.2LBS FARDO","1 | 0"
"S001","18/06/2025 14:41:06","7305","RUFO CACHORRO 10X2.2LBS FARDO","1 | 0"
"S001","18/06/2025 14:41:28","5785","MAXI CHUCHO ADULTO 10X700GRS FARDO","2 | 0"
"S001","18/06/2025 14:41:50","6081","DON GATO 12X1LBS FARDO","2 | 0"
"S001","18/06/2025 14:42:12","6502","GIRASOL INTERCAMPO 24X400GRS CAJA","0 | 12"
"S001","18/06/2025 14:42:25","6503","ALPISTE HARPP 24X400GRS CAJA","0 | 12"
"S001","18/06/2025 14:42:48","5225","ALIMIAU 12X454GRS FARDO","2 | 0"
"S001","18/06/2025 14:42:55","7107","ALIMIAU MAR Y TIERRA 12X420GRS FARDO","1 | 0"
"S001","18/06/2025 14:43:17","4844","DON FINO PAVO 12X1LBS FARDO","2 | 0"
"S001","18/06/2025 14:43:46","1432","LA BONITA MOSTAZA 24X390GRS CAJA","1 | 0"
"S001","18/06/2025 14:44:57","6247","SALSA NATURAS RANCHERA 24X180GRS CAJA","1 | 0"
"S001","18/06/2025 14:45:36","4886","ARROZ EMP/BLANCO SAN PEDRO 25X4LBS QUINTAL","1 | 0"
"S001","18/06/2025 14:45:46","4887","ARROZ EMP/BLANCO SAN PEDRO 100LBS QUINTAL","1 | 0"
"S001","18/06/2025 14:45:54","1987","ARROZ EMP/PRECOCI SAN PEDRO 100LBS QUINTAL","1 | 0"
"S001","18/06/2025 14:46:49","264","SARDINA VERDEMAR PICANTE 48X160GRS FARDO","1 | 0"
"S001","18/06/2025 14:46:56","279","SARDINA VERDEMAR TOMATE 48X160GRS FARDO","1 | 0"
"S001","18/06/2025 14:47:29","5890","FRIJOL VOLTEADO DON FRIJOL 14X850GR CAJA","1 | 0"
"S001","18/06/2025 14:47:58","3911","FRIJOL NATURAS VOLTEADO 24X210GRS CAJA","1 | 0"
"S001","18/06/2025 14:48:07","4003","FRIJOL NATURAS RANCHERO 24X210GRS CAJA","1 | 0"
"S001","18/06/2025 14:48:41","997","ACEITE ORISOL 6X3,450ML CAJA","2 | 0"
"S001","18/06/2025 14:48:59","6115","MARGARINA ORISOL CLASICA 24X400GRS CAJA","0 | 12"
"S001","18/06/2025 14:51:12","3361","PAPEL KRAF 25U 20X25U RESMA","0 | 15"
"S001","18/06/2025 14:51:19","1517","PAPEL KRAF 4U 125X4 RESMA","0 | 20"
"S001","18/06/2025 14:51:50","419","POLIPEL BIOPES GRUESO 32X500U FARDO","1 | 0"
"S001","18/06/2025 14:51:56","975","POLIPEL BIOPES ECONOMICO 32X500 FARDO","1 | 0"
"S001","18/06/2025 14:52:18","4082","LAKY VASO RES 1X12VASOS CAJA","1 | 0"
"S001","18/06/2025 14:52:31","4883","LAKY VASO MARISCO 1X12VASOS CAJA","1 | 0"
"S001","18/06/2025 14:52:40","6261","LAKY VASO CAMARON PICANTE 1X12VASOS CAJA","6 | 0"
"S001","18/06/2025 14:53:01","928","LAKY VASO CAMARON 1X12VASOS CAJA","6 | 0"
"S001","18/06/2025 14:53:24","1929","LAKY VASO JAIBA 1X12VASOS CAJA","1 | 0"
"S001","18/06/2025 14:53:42","1759","CHAO MEIN MANA 24X180GRS FARDO","0 | 8"
"S001","18/06/2025 14:58:45","7146","TOALLAS MULTIUSOS MAX PAPPEL 24X1U FARDO","0 | 12"
"S001","18/06/2025 14:58:55","7282","TOALLAS MULTIUSOS ENCANTO 20X1U PAQUETE","0 | 12"
"S001","18/06/2025 14:59:08","7396","TOALLAS MULTIUSOS LUCCA 8X3U PAQUETE","0 | 12"
"S001","18/06/2025 15:01:01","1516","CONSOME RB GRANEL RES 25X1LBS FARDO","1 | 0"
"S001","18/06/2025 15:01:20","5455","HARINA ARROZ AS DE ORO 10X2LBS FARDO","2 | 0"
"S001","18/06/2025 15:01:59","6083","HARINA MAIZ DOÑA BLANCA EX/SU 10X820GRS FARDO","3 | 0"
"S001","18/06/2025 15:05:02","2369","RON LA BODEGUITA 12X750ML CAJA","1 | 0"
"S001","18/06/2025 15:06:44","970","PILA RAYOVAC TIRA AAA 72X2U CAJA","5 | 0"
"S001","18/06/2025 15:24:51","1136","CREMA COLGATE TRIPLE ACCION 72X75GR CAJA","1 | 0"
"S001","18/06/2025 15:24:56","233","CREMA COLGATE ORIGINAL 72X75GR CAJA","1 | 0"
"S001","18/06/2025 15:25:06","4911","CREMA COLGATE KIDS FRE/UVA 24X50GRS CAJA","0 | 10"
"S001","18/06/2025 15:25:11","5556","CREMA COLGATE TRIPLE ACCION 72X150ML CAJA","1 | 0"
"S001","18/06/2025 16:56:55","1972","BAYGON PODER MORTAL 12X400ML CAJA","5 | 0"
"S001","18/06/2025 16:57:01","3341","BAYGON OKO 12X400ML","5 | 0"
"S001","18/06/2025 16:57:08","4776","BAYGON CASA JARDIN 12X400ML CAJA","2 | 0"
"S001","18/06/2025 16:57:13","491","BAYGON VERDE 1X12X400ML CAJA","2 | 0"
"S001","18/06/2025 16:57:18","6341","BAYGON HOGAR TOTAL 12X400ML","2 | 0"
"S001","18/06/2025 17:05:41","2366","MAGGI GALLINA INDIA 12X12U CAJA","6 | "
"S001","18/06/2025 17:06:14","3859","MAGGI COSTILLA CRIOLLA 12X12U CAJA","4 | 0"
"S001","18/06/2025 17:06:33","5495","CONSOME MAGGI MI SAZON 40X12U CAJA","0 | 12"
"S001","18/06/2025 17:06:57","1217","MAGGI CREMA MARISCOS 12X12U CAJA","2 | 0"
"S001","18/06/2025 17:12:11","3139","GEL EGO URBAN 24X200ML CAJA","1 | 0"
"S001","18/06/2025 17:12:17","3149","GEL EGO URBAN 12X500ML CAJA","1 | 0"
"S001","18/06/2025 17:12:22","4059","GEL EGO POWER 12X500ML CAJA","1 | 0"
"S001","18/06/2025 17:12:28","4417","GEL EGO ATTRACTION 24X200ML CAJA","1 | 0"
"S001","18/06/2025 18:48:16","3446","TARJETA CLARO 12X1.00 TIRA","0 | 300"
"S001","18/06/2025 20:21:39","2808","ESMALTE NAIL POLISH 1X24 CAJA","3 | 0"
"S001","18/06/2025 20:22:06","1231","QUITA ESMALTE KB 108X90ML FARDO"," | 12"
"S001","18/06/2025 20:32:25","4952","CARAMELO BLANDO VAQUITA 50X126GRS FARDO","0 | 15"
"S001","18/06/2025 20:33:33","4933","NIDO ESENCIAL 24X460GRS CAJA","0 | 1"
"S001","18/06/2025 20:33:42","1376","LECHE NIDO PROTECCION 1+ 24X325GRS CAJA","0 | 15"
"S001","18/06/2025 20:33:50","5374","LECHE NIDO DESARROLLO 3+ 24X360GRS CAJA","0 | 8"
"S001","18/06/2025 20:35:03","3781","RIO ESENCIAL 24X350GRS CAJA","1 | 0"
"S001","18/06/2025 20:35:15","3779","LECHE RIO INSTANTANEA 24X350GRS CAJA","0 | 12"
"S001","18/06/2025 20:35:51","1471","AUSTRALIAN ECONOMILK 24X350GRS","1 | 0"
"S001","18/06/2025 20:36:06","4698","LECHE AUSTRALIAN 24X350GRS CAJA","2 | 0"
