"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S003","13/06/2025 14:31:33","6419","PLANCHA ALSASA 48CM 1X6U CAJA","0 | 1"
"S003","13/06/2025 14:45:32","1176","CONDONES VIVE FRESA 8X3 DISPEN","1 | 0"
"S003","13/06/2025 14:45:43","1175","CONDONES VIVE MENTA 8X3 DISPEN","1 | 0"
"S003","13/06/2025 15:18:23","3361","PAPEL KRAF 25U 20X25U RESMA","0 | 8"
"S003","13/06/2025 15:18:35","1517","PAPEL KRAF 4U 125X4 RESMA","0 | 8"
"S003","13/06/2025 15:19:05","1760","BOLSA JARDINERA 100X5 FARDO","0 | 15"
"S003","13/06/2025 15:19:26","4175","BOLSA MEDIO JARDIN 100X10U FARDO","0 | 25"
"S003","13/06/2025 15:19:45","4959","JAB LIQ OLIMPO AQUA 24X460ML CAJA","0 | 12"
"S003","13/06/2025 15:19:53","4961","JAB LIQ OLIMPO ORIGINAL 24X460ML CAJA","0 | 12"
"S003","13/06/2025 15:20:47","5969","ESPUMIL BARRA 3PACK 8X3U CAJA","4 | 0"
"S003","13/06/2025 15:21:16","7177","DESIN PINOL LAVANDA 20X500ML CAJA","0 | 12"
"S003","13/06/2025 15:21:25","6959","DESIN PINOL 20X500ML CAJA","0 | 10"
"S003","13/06/2025 15:22:38","4586","DESIN MAGIA BLANCA LAVANDA 12X900ML CAJA","0 | 10"
"S003","13/06/2025 15:23:30","2121","JAB LIMPIOX CREMA ALOE 12X825GRS CAJA","0 | 8"
"S003","13/06/2025 15:26:59","5752","JAB KLINPIAX LIMON 12X1000GRS CAJA","2 | 0"
"S003","13/06/2025 15:27:26","1684","SHAKA LAKA 4X6 CAJA","3 | 0"
"S003","13/06/2025 15:27:48","1412","AS DE OROS HORCHATA 1X24 FARDO","0 | 15"
"S003","13/06/2025 15:28:06","3960","AS DE OROS CEBADA 1X24U FARDO","0 | 15"
"S003","13/06/2025 15:28:36","6729","ROSA DE JAMAICA INTERCAMPO 24X170GRS FARDO","0 | 15"
"S003","13/06/2025 15:30:27","6488","GALLETA PIAZZA JIRAFA 1X24U CAJA","0 | 8"
"S003","13/06/2025 15:32:42","1473","BON O BON LECHE 12X30U CAJA","0 | 6"
"S003","13/06/2025 15:32:51","7279","BON O BON ORIGINAL 24X5U CAJA","0 | 8"
"S003","13/06/2025 15:33:07","6651","CHOCOLATE CREMINO STICK 28X15U CAJA","0 | 12"
"S003","13/06/2025 15:33:47","5804","BUBBALOO FRESA 32X70U CAJA","0 | 3"
"S003","13/06/2025 15:34:39","1850","CANELA H1 ESPECIAL 100X1/2LBS CAJA","0 | 5"
"S003","13/06/2025 15:34:55","2355","ESPECIAS CANELA 12X12U FARDO","0 | 25"
"S003","13/06/2025 15:35:19","7242","CHICLE CANELA LA MASCOTA 50X34 FARDO","0 | 12"
"S003","13/06/2025 15:36:08","7441","CHOCOBOLAS FUTBOL 12X500GRS CAJA","0 | 3"
"S003","13/06/2025 15:36:50","4182","GRAN DIA CORN FLAKES 10X580GRS CAJA","0 | 6"
"S003","13/06/2025 15:37:25","1039","FIDEO TIRA 25X20 FARDO","0 | 8"
"S003","13/06/2025 15:37:35","3403","MAGGI POLLO CON FIDEOS 12X12U CAJA","0 | 6"
"S003","13/06/2025 15:37:55","4713","MAGGI CUBITO MINI POLLO 200X10U CAJA","0 | 25"
"S003","13/06/2025 15:38:03","5321","MAGGI CUBITO CAJITA POLLO 60X25U CAJA","0 | 12"
"S003","13/06/2025 15:38:13","648","MAGGI CUBITO POLLO 32X150U CAJA","0 | 10"
"S003","13/06/2025 15:40:47","5154","HIGIENICO ENCANTO XTGRD 12X4U FARDO","1 | 0"
"S003","13/06/2025 15:42:04","6929","HIGIENICO ENCANTO SUPER ROLLO 12X4U FARDO","1 | 0"
"S003","13/06/2025 15:42:16","6932","HIGIENICO ENCANTO GRD MORADO 12X4U FARDO","1 | 0"
"S003","13/06/2025 15:43:10","5715","HIGIENICO BOX 1000 HOJAS 8X6U FARDO","1 | 0"
"S003","13/06/2025 15:43:24","5013","HIGIENICO BOX 1000 HOJAS 12X4U FARDO","1 | 0"
"S003","13/06/2025 15:45:40","1633","GALLETA LIDO TOSTA RICA 24X24 CAJA","0 | 12"
"S003","13/06/2025 15:45:58","6227","GALLETA MARGARITA LIDO 16X6U CAJA","3 | 0"
"S003","13/06/2025 15:46:19","6032","GALLETA LIDO SALPORINA DE ARROZ 16X6U CAJA","1 | 0"
"S003","13/06/2025 15:46:46","4126","CAFE LISTO DISPEN 26X60X1.8GRS CAJA","0 | 12"
"S003","13/06/2025 15:47:05","5108","SALSA LA CHULA QUESO 8X12U CAJA","0 | 36"
"S003","13/06/2025 15:48:22","6247","SALSA NATURAS RANCHERA 24X180GRS CAJA","1 | 0"
"S003","13/06/2025 15:49:09","3853","FRIJOL VOLTEADO LA CHULA 12X35.ONZ CAJA","1 | 0"
"S003","13/06/2025 15:49:32","6242","FRIJOL VOLTEADO LA CHULA 24X20.ONZ CAJA","1 | 0"
"S003","13/06/2025 15:51:39","4659","CLEMENTE VINAGRE MANZANA 24X500ML CAJA","0 | 12"
"S003","13/06/2025 15:51:46","2659","CLEMENTE VINAGRE BLANCO 24X500ML CAJA","0 | 6"
"S003","13/06/2025 15:52:13","4573","BEB PEPSI 12X600ML FARDO","2 | 0"
"S003","13/06/2025 15:53:48","6982","BEB SALUTARI TORONJA 12X600ML FARDO","1 | 0"
"S003","13/06/2025 15:56:17","1467","LECHE AUSTRALIAN TIRA 24X12U FARDO","0 | 6"
"S003","13/06/2025 16:06:15","6120","MC BOTE  SAZONADOR COMPLETO 12X85GRS CAJA","0 | 8"
"S003","13/06/2025 16:50:26","1831","BEB ILC AGUA CRISTAL 12X1LT FARDO","2 | 0"
"S003","13/06/2025 16:51:25","2510","BEB AGUA LAS PERLITAS 12X680ML FARDO","2 | 0"
"S003","13/06/2025 16:51:33","2511","BEB AGUA LAS PERLITAS 6X1300ML FARDO","2 | 0"
"S003","13/06/2025 17:15:21","927","LAKY VASO POLLO 1X12VASOS CAJA","3 | 0"
"S003","13/06/2025 17:32:41","3296","AZUCAR 1KG 50X1KG QUINTAL","2 | 0"
"S003","13/06/2025 17:49:36","1599","DN GRD JALAPEÑO 1X5 FARDO","0 | 8"
