"Iniciales","FechaIngreso","IdImportacion","producto","Solicitado"
"S007","28/06/2025 13:51:10","6032","GALLETA LIDO SALPORINA DE ARROZ 16X6U CAJA","1 | 0"
"S007","28/06/2025 13:55:54","2609","GANCHO PARA ROPA 10X10 FARDO","0 | 10"
"S007","28/06/2025 13:56:56","5083","BARRA REXONA MEN ANTI/BACTER 12X50GRS CAJA","0 | 3"
"S007","28/06/2025 19:50:18","4419","LEJIA MAXISOL LIMON 6X12X210ML FARDO","5 | 0"
"S007","28/06/2025 19:50:24","58","LEJIA MAXISOL 6X12X210ML FARDO","5 | 0"
"S007","28/06/2025 19:58:25","1736","MANTECA NIEVE 72X200GRS CAJA","0 | 20"
"S007","28/06/2025 19:59:13","2355","ESPECIAS CANELA 12X12U FARDO","0 | 12"
"S007","28/06/2025 19:59:35","1145","BEB ILC POWERADE AZUL 12X300ML FARDO","2 | 0"
"S007","28/06/2025 19:59:44","1146","BEB ILC POWERADE FRUTAS 12X300ML FARDO","2 | 0"
"S007","28/06/2025 19:59:52","1147","BEB ILC POWERADE FRUTAS 12X500ML FARDO","2 | 0"
"S007","28/06/2025 20:00:01","1148","BEB ILC POWERADE AZUL 12X500ML FARDO","2 | 0"
"S007","28/06/2025 20:00:41","3153","BEB ILC POWERADE AZUL 12X750ML FARDO","2 | 0"
"S007","28/06/2025 20:00:49","3154","BEB ILC POWERADE FRUTAS 12X750ML FARDO","2 | 0"
"S007","28/06/2025 20:09:49","2357","ESPECIAS ACHIOTE 12X12U FARDO","0 | 12"
"S007","28/06/2025 20:10:12","2356","ESPECIAS BICARBONATO 12X12U FARDO","0 | 8"
"S007","28/06/2025 21:45:32","5375","CAFE CLASICO DISPEN 15X40X1.8GRS CAJA","1 | 0"
"S007","28/06/2025 21:45:57","5852","LIPTON FRAMBUESA 6X2.5LTS FARDO","1 | 0"
"S007","28/06/2025 21:48:03","1407","CREMORA BORDEN 12X6.ONZ CAJA","0 | 8"
"S007","29/06/2025 14:24:17","1596","DN GRD CHURRITO 1X5 FARDO","0 | 3"
"S007","29/06/2025 14:24:27","1598","DN GRD ELOTITOS CON PIQUETE 1X5 FARDO","0 | 2"
